Title	Designation	Points	Price	Appellation	TasterName	TasterTwitterHandle	TasterTitle	Variety	Winery	DatePublished	Category	BottleSize	Alcohol	Description
Peter Franus 2017 Albariño (Napa Valley)	null	93	$28	Napa Valley, Napa, California, US	Virginie Boone	@vboone	Contributing Editor	Albariño	Peter Franus	7/1/2019	White	750 ml	13.5%	This is an exceptional white, crisp and high in acidity that lingers in thirst-quenching brightness and energy. Lemon peel, lime and wet stone flavors wrap around gorgeous aromatics of star anise and jasmine, offering just the right amount of ripeness and body.
Bodega Carmen Rodríguez 2014 Carodorum Selección Especial Reserva (Toro)	Carodorum Selección Especial Reserva	92	$102	Toro, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tempranillo	Bodega Carmen Rodríguez	7/1/2019	Red	750 ml	15%	Jammy berry aromas smell like fig paste, and overall the nose on this Toro is thick and potent. Following the nose, this feels massive and deep, with hard tannins creating roughness and dryness. An explosion of black fruit flavors includes cassis and blackberry, while a big finish is sturdy, with toasty chocolaty flavors. Drink through 2030.
Central Coast Group Project 2013 Hey, Ruben? Syrah (Ballard Canyon)	Hey, Ruben?	93	$84	Ballard Canyon, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Central Coast Group Project	7/1/2019	Red	750 ml	15.7%	Scott Sampler requested that viticulturalist Ruben Solorzano deliver a Syrah-based field blend for this extended maceration bottling, which shows kirsch, new leather and rocky earth on the nose. The palate is full of rocks and earth as well as dried red fruits, much like chewing on soil with a cherry cordial chaser.
Latta 2015 Upland Vineyard Grenache (Snipes Mountain)	Upland Vineyard	93	$45	Snipes Mountain, Columbia Valley, Washington, US	Sean P. Sullivan	@wawinereport	Contributing Editor	Grenache	Latta	7/1/2019	Red	750 ml	14.1%	The aromas of this 100% varietal leap up with compelling notes of kirsch, plum, pomegranate, strawberry, white pepper and herb. The palate brings a beautiful sense of texture, layering and richness, followed by a hyper-extended finish. It's a knee-buckler.
Velvet Bee 2015 Rita's Crown Vineyard Chardonnay (Sta. Rita Hills)	Rita's Crown Vineyard	93	$28	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Chardonnay	Velvet Bee	7/1/2019	White	750 ml	14.78%	Toasted oak, white peach, fresh lilies, salted nuts and butterscotch aromas make for a very lush creamy nose on this bottling. The nutty buttery richness of the palate is sliced by vibrant citrus flavors, finishing on caramel candy.
Kutch 2017 Pinot Noir (Sonoma Coast)	null	93	$45	Sonoma Coast, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Pinot Noir	Kutch	7/1/2019	Red	750 ml	12.5%	This is a selection of the best barrels from several vineyard designates—a well-blended expression of their collective sense of floral earthiness. Cardamon, bergamot orange, rose and tea ride along a seamless texture of firm tannin structure and grit.
Alheit 2017 Radio Lazarus Chenin Blanc (Stellenbosch)	Radio Lazarus	93	$100	Stellenbosch, South Africa	Lauren Buzzeo	@laurbuzz	Managing Editor	Chenin Blanc	Alheit	7/1/2019	White	750 ml	13%	This is very likely the last release of this single-vineyard wine, after winemakers Chris and Suzaan Alheit found the extreme Bottelary site unrecoverable after three years of drought pushed it over the edge. Shame, but it's a beautiful swan song, boasting pure, direct notes of calendula, beeswax, fynbos and Anjou pear from the start. The palate shows good cut, with moderate acidity and a softly pithy texture reminiscent of bitter melon, orange peel and pear. The finish lingers on a saline accent.
Château d'Esclans 2017 Garrus Rosé (Côtes de Provence)	Garrus	93	$100	Côtes de Provence, Provence, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Rosé	Château d'Esclans	7/1/2019	Rose	750 ml	14%	This is a rich, impressive wine, with spicy flavors from wood aging that are well integrated with the ripe berry fruits. Together they give intensity, sophistication and power, making this a perfect candidate to enjoy alongside food. Drink now although the wine should age further.
Arrochela & Camizão 2017 Sem Igual Ramadas Wood White (Vinho Verde)	Sem Igual Ramadas Wood	93	$40	Vinho Verde, Portugal	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Portuguese White	Arrochela & Camizão	7/1/2019	White	750 ml	13.5%	Wood aged, this wine comes from old vines grown on pergolas in the traditional Vinho Verde style. It has spice and light toast flavors that still guard the fruit of the Arinto and Azal grapes in the blend. Drink now.
DeMorgenzon 2017 Reserve Chenin Blanc (Stellenbosch)	Reserve	93	$40	Stellenbosch, South Africa	Lauren Buzzeo	@laurbuzz	Managing Editor	Chenin Blanc	DeMorgenzon	7/1/2019	White	750 ml	14%	Aromas of lemon thyme, white tea, calendula, white melon and spiced yet snappy pear abound on the complex, earthy nose of this wine. The palate is plush and generous, filling the mouth on all sides with each sip, but is then countered by vibrant acidity and framed by soft wood tannin and citrus peel astringency to support the generous flavors. The finish is long and evolving, from wood to fruit to earth. A super tasty and well-balanced pour. Enjoy now–2029.
Domaine de Fondrèche 2016 Il Etait une Fois Red (Ventoux)	Il Etait une Fois	93	$60	Ventoux, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Domaine de Fondrèche	7/1/2019	Red	750 ml	14.5%	Black-plum and blackberry notes are intensely ripe but restrained by savory notes of licorice, clay and toast in this concentrated blend of old-vine Grenache, Mourvèdre and Syrah. It's intensely juicy and silken on the palate yet firmly structured by persistent tannins and a fresh lift of minerality. The finish is long and penetrating.
Gallimard Père et Fils NV Amphoressence Brut Nature (Champagne)	Amphoressence Brut Nature	92	$80	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Champagne Blend, Sparkling	Gallimard Père et Fils	7/1/2019	Sparkling	750 ml	12%	Aging for six months in amphora has given this wine a rounded, slightly oxidative character. Even though it is bone dry, its aftertaste has matured quickly and lost its tight acidity. The wine is fresh while also rich and ready to drink now.
Neumeister 2017 Ried Steintal Roter Traminer (Vulkanland Steiermark)	Ried Steintal	92	$38	Vulkanland Steiermark, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Roter Traminer, Other White	Neumeister	7/1/2019	White	750 ml	13.5%	Subtle rose petal and flint on the nose make for an intriguing combination. The palate majors on texture while subtle hints of Damask rose are a reminder of the Traminer nature of this wine. Concentration, freshness and balance demand that this dry wine comes with food. It is lovely now but is certain to develop. Drink 2020–2030.
Quady North 2018 GSM Rosé (Rogue Valley)	GSM	92	$17	Rogue Valley, Southern Oregon, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Rosé	Quady North	7/1/2019	Rose	750 ml	12.1%	Herb Quady's deft touch with rosé is exquisitely expressed among his three distinct 2018s. This bottling blends 56% Grenache, 39% Syrah and 5% Mourvèdre, all specifically planted and picked to be made as rosé. Juicy, crisp and complex, this is a sappy mix of apple, peach and apricot, dusted with cinnamon.
Le Vigne 2016 Nikiara Red (Paso Robles)	Nikiara	92	$51	Paso Robles, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Bordeaux-style Red Blend	Le Vigne	7/1/2019	Red	750 ml	13.6%	Lush black-raspberry and black-plum aromas combine with lava rocks, incense and shiitake mushrooms on the nose of this blend of 61% Cabernet Sauvignon, 19% Cabernet Franc, 15% Merlot and 5% Petit Verdot. That umami kick meets with black-plum sauce, white pepper, roasted meats and dried thyme sprigs on the palate.
Three Furies 2016 Constant Vengeance Pinot Noir (Sta. Rita Hills)	Constant Vengeance	92	$85	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Three Furies	7/1/2019	Red	750 ml	14.5%	Baked black cherry, boysenberry pie, vanilla and clove make for an attention-grabbing nose on this bottling. The palate is tense with fine-grained tannins but bright with boysenberry and sagebrush flavors, making for a complex sip.
Holman Ranch 2014 Hunter's Cuvee Pinot Noir (Carmel Valley)	Hunter's Cuvee	92	$42	Carmel Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Holman Ranch	7/1/2019	Red	750 ml	13.9%	Very light in the glass, this bottling from the ridges above Carmel Valley is very mineral driven, with aromas of rainy cement, light raspberry and crunchy cranberry fruit. It's very taut and rocky on the palate as well, where flavors of gravel and lanolin play against a tart red-currant backdrop.
Château d'Esclans 2017 Les Clans Rosé (Côtes de Provence)	Les Clans	92	$70	Côtes de Provence, Provence, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Rosé	Château d'Esclans	7/1/2019	Rose	750 ml	14%	With an extra year of aging before release, this wine has both great fruit and a rich, spicy character. The concentration and the ripe berry flavors are smoothed by rounded tannins and given a bite from pepper flavors at the end. It's ready to drink.
Lachini 2016 Lachini Family Estate Pinot Noir (Chehalem Mountains)	Lachini Family Estate	92	$60	Chehalem Mountains, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Lachini	7/1/2019	Red	750 ml	13.8%	A fresh tasting mix of peppery, brambly berry fruit, with a sprinkling of oregano, this well-balanced wine may be enjoyed immediately, but should continue to improve over the next half-decade. The tannins are proportionate and add a drying hint of tea and tobacco to the finish.
Latta 2015 Weinbau Vineyard Malbec (Wahluke Slope)	Weinbau Vineyard	92	$45	Wahluke Slope, Columbia Valley, Washington, US	Sean P. Sullivan	@wawinereport	Contributing Editor	Malbec	Latta	7/1/2019	Red	750 ml	N/A	A new vineyard for this wine, the variety is unmistakable. Focused aromas of orange peel, dried herb, dark plum, clove and tar are followed by an outrageously dense, rich, textured palate with an extended finish. A slight medicinal streak runs throughout. It's high on the hedonism scale.
Hager Matthias 2018 Mollands Grüner Veltliner (Niederösterreich)	Mollands	92	$20	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Hager Matthias	7/1/2019	White	750 ml	12.5%	Peppery yeast and salty hay flower make for a most enticing nose. While the palate is light and juicy, it delivers that wonderfully salty spicy hit that is so reminiscent of crushed herb, white pepper and salt. This is totally moreish, dry and savory.
Stark-Condé 2016 Three Pines Syrah (Jonkershoek Valley)	Three Pines	92	$44	Jonkershoek Valley, South Africa	Lauren Buzzeo	@laurbuzz	Managing Editor	Syrah	Stark-Condé	7/1/2019	Red	750 ml	14%	This opens with a beautiful mélange of ripe forest berry, black pepper and wood spice. A touch of gaminess adds even more depth to the elaborate bouquet. The palate is smooth and suave, with fine yet structuring tannins and medium acidity that frame the plush red cherry, raspberry and wild strawberry flavors. The close is enduring and evolving, transitioning seamlessly from the fruit-fueled start through the spice-laden finish.
Outlot 2015 Cabernet Sauvignon (Alexander Valley)	null	92	$25	Alexander Valley, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Cabernet Sauvignon	Outlot	7/1/2019	Red	750 ml	14.5%	This is a fantastic and affordable red wine with small additions of Malbec and Petit Verdot. Rich red tangy fruit is fleshy and full on the palate. Simultaneously, the wine is well integrated and structured, with a touch of sweet oak.
Domaine des Diables 2018 L'Hydropathe Rosé (Côtes de Provence Sainte-Victoire)	L'Hydropathe	92	$32	Côtes de Provence Sainte-Victoire, Provence, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Rosé	Domaine des Diables	7/1/2019	Rose	750 ml	13%	Parcels of this estate within the cru appellation of Sainte-Victoire have been chosen for this wine. Described jokingly by the producer as being made for people who can't drink water, the wine is refreshing in itself with plenty of red fruits, crisp acidity and a ripe, raspberry aftertaste. Drink the wine now.
Jeff Cohn 2016 Rinaldi Vineyard Zinfandel (Fiddletown)	Rinaldi Vineyard	92	$45	Fiddletown, Sierra Foothills, California, US	Jim Gordon	@gordone_cellars	Contributing Editor	Zinfandel	Jeff Cohn	7/1/2019	Red	750 ml	15.4%	Good depth and a broad but lightly tannic mouthfeel combine with distinctive fruit and savory flavors in this full-bodied, lightly oaked and well-polished wine. It has a great sense of composure, matching ripe blackberry, dried cherry flavors and subtle spices with hints of that earthy, brushy briary character of Zin.
Nittnaus Anita und Hans 2017 Eastside Blaufränkisch (Burgenland)	Eastside	92	$18	Burgenland, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Blaufränkisch, Other Red	Nittnaus Anita und Hans	7/1/2019	Red	750 ml	12%	A little bit of struck match on the nose leads onto a juicy, palate that brims with dark, alluring and juicy fruit. Think plum, cherry and blackberry. There is something joyful and sinuous about this and its soft, smooth tannins. This serious red does not take itself too seriously.
Hoi Polloi 2016 Dark Passage Alta Colina Vineyard Syrah (Paso Robles)	Dark Passage Alta Colina Vineyard	92	$60	Paso Robles, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Hoi Polloi	7/1/2019	Red	750 ml	15.6%	Boysenberry jam, roasted cocoa, pie crust and caramel show on the rich nose of this bottling from a vineyard just west of the city of Paso Robles. It's very dense on the palate with roasted espresso bean, cassis and lilac extract flavors.
Valdivieso 2014 Caballo Loco Grand Cru Red (Sagrada Familia)	Caballo Loco Grand Cru	92	$35	Sagrada Familia, Chile	Michael Schachner	@wineschach	Spanish and South American Editor	Red Blends	Valdivieso	7/1/2019	Red	750 ml	14%	Foresty, herbal aromas include notes of balsamic vinegar and black olive. This blend is heavy on Malbec, and the palate feels jammy, plummy and bumpy. Blueberry flavors are a touch gummy and sweet, while this is sappy, chewy and thick on a saturated finish. Drink through 2024.
Foxen 7200 2016 Vogelzang Vineyard Cabernet Sauvignon (Happy Canyon of Santa Barbara)	Vogelzang Vineyard	92	$56	Happy Canyon of Santa Barbara, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Cabernet Sauvignon	Foxen 7200	7/1/2019	Red	750 ml	14.9%	Intense blackberry and black-currant aromas meet with violet on the nose of this bottling by Bill Wathen and Dick Doré. There is a pure expression of blackberry on the palate, alongside roasted espresso, peppercorn-spice and tangy black-plum flavors.
Jurtschitsch 2018 Stein Grüner Veltliner (Kamptal)	Stein	92	$20	Kamptal, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Jurtschitsch	7/1/2019	White	750 ml	12.5%	Juicy pear and ripe mirabelle plum meet on the nose, alongside dried hay flowers. The palate replays this aromatic juiciness on a light, fresh, easy but very juicy body. Lovely texture completes the picture. The finish is dry and moreish.
Famille Perrin 2016 Les Sinards Red (Châteauneuf-du-Pape)	Les Sinards	92	$45	Châteauneuf-du-Pape, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Famille Perrin	7/1/2019	Red	750 ml	14.5%	Sourced from young vines used by the Perrin family's Château de Beaucastel, this fresh, fruit-forward wine offers juicy blueberry and blackberry flavors marked by hints of bramble, clay and crushed stone. It's an immediately appealing wine framed by ripe, supple tannins, with a welcome mineral freshness on the finish. Enjoy now–2025.
